aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3,timestamp,unix,temperature,humidity,wind_speed,hour,weekday,month,city_encoded
2,2.0710181028603163,0.4124481679081478,1.9137015198446319,-0.09206990811329467,1.4829230574669936,2.51,-1.2400941696970318,-0.4150432746692595,2025-05-10 16:00:00+00:00,1746892800,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,16,5,5,3
2,0.5535648497981804,-0.12387598035601396,1.606237181792053,0.8725244813396933,1.3883187156828152,16.33,0.9301594507497363,0.26929399631671463,2025-05-08 17:00:00+00:00,1746723600,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,17,3,5,3
2,0.8404847267674618,-0.4814254125321218,1.9416528233039574,0.5232661491585335,1.3281159527292474,17.37,0.9878947107752644,0.6333031830113818,2025-05-08 18:00:00+00:00,1746727200,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,18,3,5,3
2,0.782947318284317,-0.4814254125321218,1.8671160140790897,0.1349229534047332,1.0701041114996706,17.66,0.9429895085331869,0.9565433407962463,2025-05-08 19:00:00+00:00,1746730800,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,19,3,5,3
2,0.7016277809614723,-0.4814254125321218,1.685432541593475,-0.22385605067232603,0.6572851655323474,17.79,0.8926562049211884,1.0642900600578677,2025-05-08 20:00:00+00:00,1746734400,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,20,3,5,3
2,0.46764231979668397,-0.4814254125321218,1.350016900081571,-0.4553587041410434,0.347670956056855,17.73,0.8635418430279732,1.0904987214998838,2025-05-08 21:00:00+00:00,1746738000,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,21,3,5,3
2,0.05874313684313564,-0.4814254125321218,0.8329177860840518,-0.5320251673027614,0.15846227248849853,17.36,0.8561398866144441,1.0002244431996061,2025-05-08 22:00:00+00:00,1746741600,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,22,3,5,3
2,-0.14532287191041737,-0.4814254125321218,0.5254534480314729,-0.6708265417850873,0.04665714128901509,17.44,0.8916692773993843,1.102147015474113,2025-05-08 23:00:00+00:00,1746745200,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,23,3,5,3
2,-0.23661556003700682,-0.4814254125321218,0.33911142496930397,-0.7810659005797146,0.09825950953493053,17.84,0.9878947107752644,1.2419265431648652,2025-05-09 00:00:00+00:00,1746748800,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,0,4,5,3
2,-0.3010574575381292,-0.4814254125321218,0.22730621113200247,-0.8882987314072157,0.16706266719615093,18.27,1.0781985790203208,1.4195630262718628,2025-05-09 01:00:00+00:00,1746752400,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,1,4,5,3
3,-0.3348127371815739,-0.4814254125321218,0.1993549076726773,-1.0606730015224508,0.09825950953493053,18.67,1.131492665197731,1.7253307430953833,2025-05-09 02:00:00+00:00,1746756000,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,2,4,5,3
3,-0.31640076646696796,-0.4814254125321218,0.2878673686272075,-1.2420668555390646,0.038056746581362516,18.92,1.1655416646999655,2.0136260189575594,2025-05-09 03:00:00+00:00,1746759600,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,3,4,5,3
3,-0.2542603653051715,-0.2579570174220544,0.6838441676343164,-1.46304666112284,0.08105872011962538,18.81,1.1759044036789064,2.1184606647256237,2025-05-09 04:00:00+00:00,1746763200,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,4,4,5,3
3,-0.09315562155236673,2.334276365854727,1.0751624160648712,-1.6399307231887648,0.19286385131910866,18.59,1.1872540701796515,1.9291758876443972,2025-05-09 05:00:00+00:00,1746766800,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,5,4,5,3
3,0.041865497021413275,5.552221255439698,1.1217479218304138,-1.5983404196435191,0.35627135076450756,18.57,1.2287050260954149,1.6845617141855804,2025-05-09 06:00:00+00:00,1746770400,-1.2984637625579476,-0.8890008890013334,1.8539739656866987,6,4,5,3
